
01.02armB  <  (87,251) (87,252) (88,252) (88,251) > 
07.22armG  <  (609,3251) (609,3252) (610,3252) (610,3251) > 
07.24armG  <  (609,3551) (609,3552) (610,3552) (610,3551) > 
07.26armG  <  (609,3851) (609,3852) (610,3852) (610,3851) > 
08.01armG  <  (696,101) (696,102) (697,102) (697,101) > 
08.03armG  <  (696,401) (696,402) (697,402) (697,401) > 
08.05armG  <  (696,701) (696,702) (697,702) (697,701) > 
08.07armG  <  (696,1001) (696,1002) (697,1002) (697,1001) > 
08.09armG  <  (696,1301) (696,1302) (697,1302) (697,1301) > 
08.11armG  <  (696,1601) (696,1602) (697,1602) (697,1601) > 
08.13armG  <  (696,1901) (696,1902) (697,1902) (697,1901) > 
08.15armG  <  (696,2201) (696,2202) (697,2202) (697,2201) > 
08.17armG  <  (696,2501) (696,2502) (697,2502) (697,2501) > 
08.19armG  <  (696,2801) (696,2802) (697,2802) (697,2801) > 
08.21armG  <  (696,3101) (696,3102) (697,3102) (697,3101) > 
08.23armG  <  (696,3401) (696,3402) (697,3402) (697,3401) > 
08.25armG  <  (696,3701) (696,3702) (697,3702) (697,3701) > 
09.02armG  <  (783,251) (783,252) (784,252) (784,251) > 
09.04armG  <  (783,551) (783,552) (784,552) (784,551) > 
09.06armG  <  (783,851) (783,852) (784,852) (784,851) > 
09.08armG  <  (783,1151) (783,1152) (784,1152) (784,1151) > 
09.10armG  <  (783,1451) (783,1452) (784,1452) (784,1451) > 
09.12armG  <  (783,1751) (783,1752) (784,1752) (784,1751) > 
09.14armG  <  (783,2051) (783,2052) (784,2052) (784,2051) > 
09.16armG  <  (783,2351) (783,2352) (784,2352) (784,2351) > 
09.18armG  <  (783,2651) (783,2652) (784,2652) (784,2651) > 
09.20armG  <  (783,2951) (783,2952) (784,2952) (784,2951) > 
09.22armG  <  (783,3251) (783,3252) (784,3252) (784,3251) > 
09.24armG  <  (783,3551) (783,3552) (784,3552) (784,3551) > 
09.26armG  <  (783,3851) (783,3852) (784,3852) (784,3851) > 
10.01armG  <  (870,101) (870,102) (871,102) (871,101) > 
10.03armG  <  (870,401) (870,402) (871,402) (871,401) > 
10.05armG  <  (870,701) (870,702) (871,702) (871,701) > 
10.07armG  <  (870,1001) (870,1002) (871,1002) (871,1001) > 
10.09armG  <  (870,1301) (870,1302) (871,1302) (871,1301) > 
10.11armG  <  (870,1601) (870,1602) (871,1602) (871,1601) > 
10.13armG  <  (870,1901) (870,1902) (871,1902) (871,1901) > 
10.15armG  <  (870,2201) (870,2202) (871,2202) (871,2201) > 
10.17armG  <  (870,2501) (870,2502) (871,2502) (871,2501) > 
10.19armG  <  (870,2801) (870,2802) (871,2802) (871,2801) > 
10.21armG  <  (870,3101) (870,3102) (871,3102) (871,3101) > 
10.23armG  <  (870,3401) (870,3402) (871,3402) (871,3401) > 
10.25armG  <  (870,3701) (870,3702) (871,3702) (871,3701) > 
10.27armG  <  (870,4001) (870,4002) (871,4002) (871,4001) > 
11.02armG  <  (957,251) (957,252) (958,252) (958,251) > 
11.04armG  <  (957,551) (957,552) (958,552) (958,551) > 
11.06armG  <  (957,851) (957,852) (958,852) (958,851) > 
11.08armG  <  (957,1151) (957,1152) (958,1152) (958,1151) > 
11.10armG  <  (957,1451) (957,1452) (958,1452) (958,1451) > 
11.12armG  <  (957,1751) (957,1752) (958,1752) (958,1751) > 
11.14armG  <  (957,2051) (957,2052) (958,2052) (958,2051) > 
11.16armG  <  (957,2351) (957,2352) (958,2352) (958,2351) > 
11.18armG  <  (957,2651) (957,2652) (958,2652) (958,2651) > 
11.20armG  <  (957,2951) (957,2952) (958,2952) (958,2951) > 
11.22armG  <  (957,3251) (957,3252) (958,3252) (958,3251) > 
11.24armG  <  (957,3551) (957,3552) (958,3552) (958,3551) > 
11.26armG  <  (957,3851) (957,3852) (958,3852) (958,3851) > 
11.28armG  <  (976,4141) (976,4142) (977,4142) (977,4141) > 
11.32armG  <  (919,4733) (919,4734) (920,4734) (920,4733) > 
12.01armG  <  (1044,101) (1044,102) (1045,102) (1045,101) > 
12.03armG  <  (1044,401) (1044,402) (1045,402) (1045,401) > 
12.05armG  <  (1044,701) (1044,702) (1045,702) (1045,701) > 
12.07armG  <  (1044,1001) (1044,1002) (1045,1002) (1045,1001) > 
12.09armG  <  (1044,1301) (1044,1302) (1045,1302) (1045,1301) > 
12.11armG  <  (1044,1601) (1044,1602) (1045,1602) (1045,1601) > 
12.13armG  <  (1044,1901) (1044,1902) (1045,1902) (1045,1901) > 
12.15armG  <  (1044,2201) (1044,2202) (1045,2202) (1045,2201) > 
12.17armG  <  (1044,2501) (1044,2502) (1045,2502) (1045,2501) > 
12.19armG  <  (1044,2801) (1044,2802) (1045,2802) (1045,2801) > 
12.21armG  <  (1044,3101) (1044,3102) (1045,3102) (1045,3101) > 
12.23armG  <  (1044,3401) (1044,3402) (1045,3402) (1045,3401) > 
12.25armG  <  (1044,3701) (1044,3702) (1045,3702) (1045,3701) > 
12.27armG  <  (1044,4001) (1044,4002) (1045,4002) (1045,4001) > 
12.29armG  <  (1063,4279) (1063,4280) (1064,4280) (1064,4279) > 
13.02armG  <  (1131,251) (1131,252) (1132,252) (1132,251) > 
13.04armG  <  (1131,551) (1131,552) (1132,552) (1132,551) > 
13.06armG  <  (1131,851) (1131,852) (1132,852) (1132,851) > 
13.08armG  <  (1131,1151) (1131,1152) (1132,1152) (1132,1151) > 
13.10armG  <  (1131,1451) (1131,1452) (1132,1452) (1132,1451) > 
13.12armG  <  (1131,1751) (1131,1752) (1132,1752) (1132,1751) > 
13.14armG  <  (1131,2051) (1131,2052) (1132,2052) (1132,2051) > 
13.16armG  <  (1131,2351) (1131,2352) (1132,2352) (1132,2351) > 
13.18armG  <  (1131,2651) (1131,2652) (1132,2652) (1132,2651) > 
13.20armG  <  (1131,2951) (1131,2952) (1132,2952) (1132,2951) > 
13.22armG  <  (1131,3251) (1131,3252) (1132,3252) (1132,3251) > 
13.24armG  <  (1131,3551) (1131,3552) (1132,3552) (1132,3551) > 
13.26armG  <  (1131,3851) (1131,3852) (1132,3852) (1132,3851) > 
13.28armG  <  (1131,4151) (1131,4152) (1132,4152) (1132,4151) > 
13.30armG  <  (1131,4451) (1131,4452) (1132,4452) (1132,4451) > 
13.32armG  <  (1115,4791) (1115,4792) (1116,4792) (1116,4791) > 
14.01armG  <  (1218,101) (1218,102) (1219,102) (1219,101) > 
14.03armG  <  (1218,401) (1218,402) (1219,402) (1219,401) > 
14.05armG  <  (1218,701) (1218,702) (1219,702) (1219,701) > 
14.07armG  <  (1218,1001) (1218,1002) (1219,1002) (1219,1001) > 
14.09armG  <  (1218,1301) (1218,1302) (1219,1302) (1219,1301) > 
14.11armG  <  (1218,1601) (1218,1602) (1219,1602) (1219,1601) > 
14.13armG  <  (1218,1901) (1218,1902) (1219,1902) (1219,1901) > 
14.15armG  <  (1218,2201) (1218,2202) (1219,2202) (1219,2201) > 
14.17armG  <  (1218,2501) (1218,2502) (1219,2502) (1219,2501) > 
14.19armG  <  (1218,2801) (1218,2802) (1219,2802) (1219,2801) > 
14.21armG  <  (1218,3101) (1218,3102) (1219,3102) (1219,3101) > 
14.23armG  <  (1218,3401) (1218,3402) (1219,3402) (1219,3401) > 
14.25armG  <  (1218,3701) (1218,3702) (1219,3702) (1219,3701) > 
14.27armG  <  (1218,4001) (1218,4002) (1219,4002) (1219,4001) > 
14.29armG  <  (1218,4301) (1218,4302) (1219,4302) (1219,4301) > 
14.31armG  <  (1218,4601) (1218,4602) (1219,4602) (1219,4601) > 
14.33armG  <  (1224,4873) (1224,4874) (1225,4874) (1225,4873) > 
15.02armG  <  (1305,251) (1305,252) (1306,252) (1306,251) > 
15.04armG  <  (1305,551) (1305,552) (1306,552) (1306,551) > 
15.06armG  <  (1305,851) (1305,852) (1306,852) (1306,851) > 
15.08armG  <  (1305,1151) (1305,1152) (1306,1152) (1306,1151) > 
15.10armG  <  (1305,1451) (1305,1452) (1306,1452) (1306,1451) > 
15.12armG  <  (1305,1751) (1305,1752) (1306,1752) (1306,1751) > 
15.14armG  <  (1305,2051) (1305,2052) (1306,2052) (1306,2051) > 
15.16armG  <  (1305,2351) (1305,2352) (1306,2352) (1306,2351) > 
15.18armG  <  (1305,2651) (1305,2652) (1306,2652) (1306,2651) > 
15.20armG  <  (1305,2951) (1305,2952) (1306,2952) (1306,2951) > 
15.22armG  <  (1305,3251) (1305,3252) (1306,3252) (1306,3251) > 
15.24armG  <  (1305,3551) (1305,3552) (1306,3552) (1306,3551) > 
15.26armG  <  (1305,3851) (1305,3852) (1306,3852) (1306,3851) > 
15.28armG  <  (1305,4151) (1305,4152) (1306,4152) (1306,4151) > 
15.30armG  <  (1305,4451) (1305,4452) (1306,4452) (1306,4451) > 
15.32armG  <  (1305,4751) (1305,4752) (1306,4752) (1306,4751) > 
15.34armG  <  (1322,5028) (1322,5029) (1323,5029) (1323,5028) > 
16.01armG  <  (1392,101) (1392,102) (1393,102) (1393,101) > 
16.03armG  <  (1392,401) (1392,402) (1393,402) (1393,401) > 
16.05armG  <  (1392,701) (1392,702) (1393,702) (1393,701) > 
16.07armG  <  (1392,1001) (1392,1002) (1393,1002) (1393,1001) > 
16.09armG  <  (1392,1301) (1392,1302) (1393,1302) (1393,1301) > 
16.11armG  <  (1392,1601) (1392,1602) (1393,1602) (1393,1601) > 
16.13armG  <  (1392,1901) (1392,1902) (1393,1902) (1393,1901) > 
16.15armG  <  (1392,2201) (1392,2202) (1393,2202) (1393,2201) > 
16.17armG  <  (1392,2501) (1392,2502) (1393,2502) (1393,2501) > 
16.19armG  <  (1392,2801) (1392,2802) (1393,2802) (1393,2801) > 
16.21armG  <  (1392,3101) (1392,3102) (1393,3102) (1393,3101) > 
16.23armG  <  (1392,3401) (1392,3402) (1393,3402) (1393,3401) > 
16.25armG  <  (1392,3701) (1392,3702) (1393,3702) (1393,3701) > 
16.27armG  <  (1392,4001) (1392,4002) (1393,4002) (1393,4001) > 
16.29armG  <  (1392,4301) (1392,4302) (1393,4302) (1393,4301) > 
16.31armG  <  (1392,4601) (1392,4602) (1393,4602) (1393,4601) > 
16.33armG  <  (1392,4901) (1392,4902) (1393,4902) (1393,4901) > 
17.02armG  <  (1479,251) (1479,252) (1480,252) (1480,251) > 
17.04armG  <  (1479,551) (1479,552) (1480,552) (1480,551) > 
17.06armG  <  (1479,851) (1479,852) (1480,852) (1480,851) > 
17.08armG  <  (1479,1151) (1479,1152) (1480,1152) (1480,1151) > 
17.10armG  <  (1479,1451) (1479,1452) (1480,1452) (1480,1451) > 
17.12armG  <  (1479,1751) (1479,1752) (1480,1752) (1480,1751) > 
17.14armG  <  (1479,2051) (1479,2052) (1480,2052) (1480,2051) > 
17.16armG  <  (1479,2351) (1479,2352) (1480,2352) (1480,2351) > 
17.18armG  <  (1479,2651) (1479,2652) (1480,2652) (1480,2651) > 
17.20armG  <  (1479,2951) (1479,2952) (1480,2952) (1480,2951) > 
17.22armG  <  (1479,3251) (1479,3252) (1480,3252) (1480,3251) > 
17.24armG  <  (1479,3551) (1479,3552) (1480,3552) (1480,3551) > 
17.26armG  <  (1479,3851) (1479,3852) (1480,3852) (1480,3851) > 
17.28armG  <  (1479,4151) (1479,4152) (1480,4152) (1480,4151) > 
17.30armG  <  (1479,4451) (1479,4452) (1480,4452) (1480,4451) > 
17.32armG  <  (1479,4751) (1479,4752) (1480,4752) (1480,4751) > 
17.34armG  <  (1479,5051) (1479,5052) (1480,5052) (1480,5051) > 
18.01armG  <  (1566,101) (1566,102) (1567,102) (1567,101) > 
18.03armG  <  (1566,401) (1566,402) (1567,402) (1567,401) > 
18.05armG  <  (1566,701) (1566,702) (1567,702) (1567,701) > 
18.07armG  <  (1566,1001) (1566,1002) (1567,1002) (1567,1001) > 
18.09armG  <  (1566,1301) (1566,1302) (1567,1302) (1567,1301) > 
18.11armG  <  (1566,1601) (1566,1602) (1567,1602) (1567,1601) > 
18.13armG  <  (1566,1901) (1566,1902) (1567,1902) (1567,1901) > 
18.15armG  <  (1566,2201) (1566,2202) (1567,2202) (1567,2201) > 
18.17armG  <  (1566,2501) (1566,2502) (1567,2502) (1567,2501) > 
18.19armG  <  (1566,2801) (1566,2802) (1567,2802) (1567,2801) > 
18.21armG  <  (1566,3101) (1566,3102) (1567,3102) (1567,3101) > 
18.23armG  <  (1566,3401) (1566,3402) (1567,3402) (1567,3401) > 
18.25armG  <  (1566,3701) (1566,3702) (1567,3702) (1567,3701) > 
18.27armG  <  (1566,4001) (1566,4002) (1567,4002) (1567,4001) > 
18.29armG  <  (1566,4301) (1566,4302) (1567,4302) (1567,4301) > 
18.31armG  <  (1566,4601) (1566,4602) (1567,4602) (1567,4601) > 
18.33armG  <  (1566,4901) (1566,4902) (1567,4902) (1567,4901) > 
19.02armG  <  (1653,251) (1653,252) (1654,252) (1654,251) > 
19.04armG  <  (1653,551) (1653,552) (1654,552) (1654,551) > 
19.06armG  <  (1653,851) (1653,852) (1654,852) (1654,851) > 
19.08armG  <  (1653,1151) (1653,1152) (1654,1152) (1654,1151) > 
19.10armG  <  (1653,1451) (1653,1452) (1654,1452) (1654,1451) > 
19.12armG  <  (1653,1751) (1653,1752) (1654,1752) (1654,1751) > 
19.14armG  <  (1653,2051) (1653,2052) (1654,2052) (1654,2051) > 
19.16armG  <  (1653,2351) (1653,2352) (1654,2352) (1654,2351) > 
19.18armG  <  (1653,2651) (1653,2652) (1654,2652) (1654,2651) > 
19.20armG  <  (1653,2951) (1653,2952) (1654,2952) (1654,2951) > 
19.22armG  <  (1653,3251) (1653,3252) (1654,3252) (1654,3251) > 
19.24armG  <  (1653,3551) (1653,3552) (1654,3552) (1654,3551) > 
19.26armG  <  (1653,3851) (1653,3852) (1654,3852) (1654,3851) > 
19.28armG  <  (1653,4151) (1653,4152) (1654,4152) (1654,4151) > 
19.30armG  <  (1653,4451) (1653,4452) (1654,4452) (1654,4451) > 
19.32armG  <  (1653,4751) (1653,4752) (1654,4752) (1654,4751) > 
19.34armG  <  (1653,5051) (1653,5052) (1654,5052) (1654,5051) > 
20.01armG  <  (1740,101) (1740,102) (1741,102) (1741,101) > 
20.03armG  <  (1740,401) (1740,402) (1741,402) (1741,401) > 
20.05armG  <  (1740,701) (1740,702) (1741,702) (1741,701) > 
20.07armG  <  (1740,1001) (1740,1002) (1741,1002) (1741,1001) > 
20.09armG  <  (1740,1301) (1740,1302) (1741,1302) (1741,1301) > 
20.11armG  <  (1740,1601) (1740,1602) (1741,1602) (1741,1601) > 
20.13armG  <  (1740,1901) (1740,1902) (1741,1902) (1741,1901) > 
20.15armG  <  (1740,2201) (1740,2202) (1741,2202) (1741,2201) > 
20.17armG  <  (1740,2501) (1740,2502) (1741,2502) (1741,2501) > 
20.19armG  <  (1740,2801) (1740,2802) (1741,2802) (1741,2801) > 
20.21armG  <  (1740,3101) (1740,3102) (1741,3102) (1741,3101) > 
20.23armG  <  (1740,3401) (1740,3402) (1741,3402) (1741,3401) > 
20.25armG  <  (1740,3701) (1740,3702) (1741,3702) (1741,3701) > 
20.27armG  <  (1740,4001) (1740,4002) (1741,4002) (1741,4001) > 
20.29armG  <  (1740,4301) (1740,4302) (1741,4302) (1741,4301) > 
20.31armG  <  (1740,4601) (1740,4602) (1741,4602) (1741,4601) > 
20.33armG  <  (1740,4901) (1740,4902) (1741,4902) (1741,4901) > 
21.02armG  <  (1827,251) (1827,252) (1828,252) (1828,251) > 
21.04armG  <  (1827,551) (1827,552) (1828,552) (1828,551) > 
21.06armG  <  (1827,851) (1827,852) (1828,852) (1828,851) > 
21.08armG  <  (1827,1151) (1827,1152) (1828,1152) (1828,1151) > 
21.10armG  <  (1827,1451) (1827,1452) (1828,1452) (1828,1451) > 
21.12armG  <  (1827,1751) (1827,1752) (1828,1752) (1828,1751) > 
21.14armG  <  (1827,2051) (1827,2052) (1828,2052) (1828,2051) > 
21.16armG  <  (1827,2351) (1827,2352) (1828,2352) (1828,2351) > 
21.18armG  <  (1827,2651) (1827,2652) (1828,2652) (1828,2651) > 
21.20armG  <  (1827,2951) (1827,2952) (1828,2952) (1828,2951) > 
21.22armG  <  (1827,3251) (1827,3252) (1828,3252) (1828,3251) > 
21.24armG  <  (1827,3551) (1827,3552) (1828,3552) (1828,3551) > 
21.26armG  <  (1827,3851) (1827,3852) (1828,3852) (1828,3851) > 
21.28armG  <  (1827,4151) (1827,4152) (1828,4152) (1828,4151) > 
21.30armG  <  (1827,4451) (1827,4452) (1828,4452) (1828,4451) > 
21.32armG  <  (1827,4751) (1827,4752) (1828,4752) (1828,4751) > 
21.34armG  <  (1827,5051) (1827,5052) (1828,5052) (1828,5051) > 
22.01armG  <  (1914,101) (1914,102) (1915,102) (1915,101) > 
22.03armG  <  (1914,401) (1914,402) (1915,402) (1915,401) > 
22.05armG  <  (1914,701) (1914,702) (1915,702) (1915,701) > 
22.07armG  <  (1914,1001) (1914,1002) (1915,1002) (1915,1001) > 
22.09armG  <  (1914,1301) (1914,1302) (1915,1302) (1915,1301) > 
22.11armG  <  (1914,1601) (1914,1602) (1915,1602) (1915,1601) > 
22.13armG  <  (1914,1901) (1914,1902) (1915,1902) (1915,1901) > 
22.15armG  <  (1914,2201) (1914,2202) (1915,2202) (1915,2201) > 
22.17armG  <  (1914,2501) (1914,2502) (1915,2502) (1915,2501) > 
22.19armG  <  (1914,2801) (1914,2802) (1915,2802) (1915,2801) > 
22.21armG  <  (1914,3101) (1914,3102) (1915,3102) (1915,3101) > 
22.23armG  <  (1914,3401) (1914,3402) (1915,3402) (1915,3401) > 
22.25armG  <  (1914,3701) (1914,3702) (1915,3702) (1915,3701) > 
22.27armG  <  (1914,4001) (1914,4002) (1915,4002) (1915,4001) > 
22.29armG  <  (1914,4301) (1914,4302) (1915,4302) (1915,4301) > 
22.31armG  <  (1914,4601) (1914,4602) (1915,4602) (1915,4601) > 
22.33armG  <  (1914,4901) (1914,4902) (1915,4902) (1915,4901) > 
23.02armG  <  (2001,251) (2001,252) (2002,252) (2002,251) > 
23.04armG  <  (2001,551) (2001,552) (2002,552) (2002,551) > 
23.06armG  <  (2001,851) (2001,852) (2002,852) (2002,851) > 
23.08armG  <  (2001,1151) (2001,1152) (2002,1152) (2002,1151) > 
23.10armG  <  (2001,1451) (2001,1452) (2002,1452) (2002,1451) > 
23.12armG  <  (2001,1751) (2001,1752) (2002,1752) (2002,1751) > 
23.14armG  <  (2001,2051) (2001,2052) (2002,2052) (2002,2051) > 
23.16armG  <  (2001,2351) (2001,2352) (2002,2352) (2002,2351) > 
23.18armG  <  (2001,2651) (2001,2652) (2002,2652) (2002,2651) > 
23.20armG  <  (2001,2951) (2001,2952) (2002,2952) (2002,2951) > 
23.22armG  <  (2001,3251) (2001,3252) (2002,3252) (2002,3251) > 
23.24armG  <  (2001,3551) (2001,3552) (2002,3552) (2002,3551) > 
23.26armG  <  (2001,3851) (2001,3852) (2002,3852) (2002,3851) > 
23.28armG  <  (2001,4151) (2001,4152) (2002,4152) (2002,4151) > 
23.30armG  <  (2001,4451) (2001,4452) (2002,4452) (2002,4451) > 
23.32armG  <  (2001,4751) (2001,4752) (2002,4752) (2002,4751) > 
23.34armG  <  (2001,5051) (2001,5052) (2002,5052) (2002,5051) > 
24.01armG  <  (2088,101) (2088,102) (2089,102) (2089,101) > 
24.03armG  <  (2088,401) (2088,402) (2089,402) (2089,401) > 
24.05armG  <  (2088,701) (2088,702) (2089,702) (2089,701) > 
24.07armG  <  (2088,1001) (2088,1002) (2089,1002) (2089,1001) > 
24.09armG  <  (2088,1301) (2088,1302) (2089,1302) (2089,1301) > 
24.11armG  <  (2088,1601) (2088,1602) (2089,1602) (2089,1601) > 
24.13armG  <  (2088,1901) (2088,1902) (2089,1902) (2089,1901) > 
24.15armG  <  (2088,2201) (2088,2202) (2089,2202) (2089,2201) > 
24.17armG  <  (2088,2501) (2088,2502) (2089,2502) (2089,2501) > 
24.19armG  <  (2088,2801) (2088,2802) (2089,2802) (2089,2801) > 
24.21armG  <  (2088,3101) (2088,3102) (2089,3102) (2089,3101) > 
24.23armG  <  (2088,3401) (2088,3402) (2089,3402) (2089,3401) > 
24.25armG  <  (2088,3701) (2088,3702) (2089,3702) (2089,3701) > 
24.27armG  <  (2088,4001) (2088,4002) (2089,4002) (2089,4001) > 
24.29armG  <  (2088,4301) (2088,4302) (2089,4302) (2089,4301) > 
24.31armG  <  (2088,4601) (2088,4602) (2089,4602) (2089,4601) > 
24.33armG  <  (2088,4901) (2088,4902) (2089,4902) (2089,4901) > 
25.02armG  <  (2175,251) (2175,252) (2176,252) (2176,251) > 
25.04armG  <  (2175,551) (2175,552) (2176,552) (2176,551) > 
25.06armG  <  (2175,851) (2175,852) (2176,852) (2176,851) > 
25.08armG  <  (2175,1151) (2175,1152) (2176,1152) (2176,1151) > 
25.10armG  <  (2175,1451) (2175,1452) (2176,1452) (2176,1451) > 
25.12armG  <  (2175,1751) (2175,1752) (2176,1752) (2176,1751) > 
25.14armG  <  (2175,2051) (2175,2052) (2176,2052) (2176,2051) > 
25.16armG  <  (2175,2351) (2175,2352) (2176,2352) (2176,2351) > 
25.18armG  <  (2175,2651) (2175,2652) (2176,2652) (2176,2651) > 
25.20armG  <  (2175,2951) (2175,2952) (2176,2952) (2176,2951) > 
25.22armG  <  (2175,3251) (2175,3252) (2176,3252) (2176,3251) > 
25.24armG  <  (2175,3551) (2175,3552) (2176,3552) (2176,3551) > 
25.26armG  <  (2175,3851) (2175,3852) (2176,3852) (2176,3851) > 
25.28armG  <  (2175,4151) (2175,4152) (2176,4152) (2176,4151) > 
25.30armG  <  (2175,4451) (2175,4452) (2176,4452) (2176,4451) > 
25.32armG  <  (2175,4751) (2175,4752) (2176,4752) (2176,4751) > 
25.34armG  <  (2175,5051) (2175,5052) (2176,5052) (2176,5051) > 
26.01armG  <  (2262,101) (2262,102) (2263,102) (2263,101) > 
26.03armG  <  (2262,401) (2262,402) (2263,402) (2263,401) > 
26.05armG  <  (2262,701) (2262,702) (2263,702) (2263,701) > 
26.07armG  <  (2262,1001) (2262,1002) (2263,1002) (2263,1001) > 
26.09armG  <  (2262,1301) (2262,1302) (2263,1302) (2263,1301) > 
26.11armG  <  (2262,1601) (2262,1602) (2263,1602) (2263,1601) > 
26.13armG  <  (2262,1901) (2262,1902) (2263,1902) (2263,1901) > 
26.15armG  <  (2262,2201) (2262,2202) (2263,2202) (2263,2201) > 
26.17armG  <  (2262,2501) (2262,2502) (2263,2502) (2263,2501) > 
26.19armG  <  (2262,2801) (2262,2802) (2263,2802) (2263,2801) > 
26.21armG  <  (2262,3101) (2262,3102) (2263,3102) (2263,3101) > 
26.23armG  <  (2262,3401) (2262,3402) (2263,3402) (2263,3401) > 
26.25armG  <  (2262,3701) (2262,3702) (2263,3702) (2263,3701) > 
26.27armG  <  (2262,4001) (2262,4002) (2263,4002) (2263,4001) > 
26.29armG  <  (2262,4301) (2262,4302) (2263,4302) (2263,4301) > 
26.31armG  <  (2262,4601) (2262,4602) (2263,4602) (2263,4601) > 
26.33armG  <  (2262,4901) (2262,4902) (2263,4902) (2263,4901) > 
27.02armG  <  (2349,251) (2349,252) (2350,252) (2350,251) > 
27.04armG  <  (2349,551) (2349,552) (2350,552) (2350,551) > 
27.06armG  <  (2349,851) (2349,852) (2350,852) (2350,851) > 
27.08armG  <  (2349,1151) (2349,1152) (2350,1152) (2350,1151) > 
27.10armG  <  (2349,1451) (2349,1452) (2350,1452) (2350,1451) > 
27.12armG  <  (2349,1751) (2349,1752) (2350,1752) (2350,1751) > 
27.14armG  <  (2349,2051) (2349,2052) (2350,2052) (2350,2051) > 
27.16armG  <  (2349,2351) (2349,2352) (2350,2352) (2350,2351) > 
27.18armG  <  (2349,2651) (2349,2652) (2350,2652) (2350,2651) > 
27.20armG  <  (2349,2951) (2349,2952) (2350,2952) (2350,2951) > 
27.22armG  <  (2349,3251) (2349,3252) (2350,3252) (2350,3251) > 
27.24armG  <  (2349,3551) (2349,3552) (2350,3552) (2350,3551) > 
27.26armG  <  (2349,3851) (2349,3852) (2350,3852) (2350,3851) > 
27.28armG  <  (2349,4151) (2349,4152) (2350,4152) (2350,4151) > 
27.30armG  <  (2349,4451) (2349,4452) (2350,4452) (2350,4451) > 
27.32armG  <  (2349,4751) (2349,4752) (2350,4752) (2350,4751) > 
27.34armG  <  (2349,5051) (2349,5052) (2350,5052) (2350,5051) > 
28.01armG  <  (2436,101) (2436,102) (2437,102) (2437,101) > 
28.03armG  <  (2436,401) (2436,402) (2437,402) (2437,401) > 
28.05armG  <  (2436,701) (2436,702) (2437,702) (2437,701) > 
28.07armG  <  (2436,1001) (2436,1002) (2437,1002) (2437,1001) > 
28.09armG  <  (2436,1301) (2436,1302) (2437,1302) (2437,1301) > 
28.11armG  <  (2436,1601) (2436,1602) (2437,1602) (2437,1601) > 
28.13armG  <  (2436,1901) (2436,1902) (2437,1902) (2437,1901) > 
28.15armG  <  (2436,2201) (2436,2202) (2437,2202) (2437,2201) > 
28.17armG  <  (2436,2501) (2436,2502) (2437,2502) (2437,2501) > 
28.19armG  <  (2436,2801) (2436,2802) (2437,2802) (2437,2801) > 
28.21armG  <  (2436,3101) (2436,3102) (2437,3102) (2437,3101) > 
28.23armG  <  (2436,3401) (2436,3402) (2437,3402) (2437,3401) > 
28.25armG  <  (2436,3701) (2436,3702) (2437,3702) (2437,3701) > 
28.27armG  <  (2436,4001) (2436,4002) (2437,4002) (2437,4001) > 
28.29armG  <  (2436,4301) (2436,4302) (2437,4302) (2437,4301) > 
28.31armG  <  (2436,4601) (2436,4602) (2437,4602) (2437,4601) > 
28.33armG  <  (2436,4901) (2436,4902) (2437,4902) (2437,4901) > 
29.02armG  <  (2523,251) (2523,252) (2524,252) (2524,251) > 
29.04armG  <  (2523,551) (2523,552) (2524,552) (2524,551) > 
29.06armG  <  (2523,851) (2523,852) (2524,852) (2524,851) > 
29.08armG  <  (2523,1151) (2523,1152) (2524,1152) (2524,1151) > 
29.10armG  <  (2523,1451) (2523,1452) (2524,1452) (2524,1451) > 
29.12armG  <  (2523,1751) (2523,1752) (2524,1752) (2524,1751) > 
29.14armG  <  (2523,2051) (2523,2052) (2524,2052) (2524,2051) > 
29.16armG  <  (2523,2351) (2523,2352) (2524,2352) (2524,2351) > 
29.18armG  <  (2523,2651) (2523,2652) (2524,2652) (2524,2651) > 
29.20armG  <  (2523,2951) (2523,2952) (2524,2952) (2524,2951) > 
29.22armG  <  (2523,3251) (2523,3252) (2524,3252) (2524,3251) > 
29.24armG  <  (2523,3551) (2523,3552) (2524,3552) (2524,3551) > 
29.26armG  <  (2523,3851) (2523,3852) (2524,3852) (2524,3851) > 
29.28armG  <  (2523,4151) (2523,4152) (2524,4152) (2524,4151) > 
29.30armG  <  (2523,4451) (2523,4452) (2524,4452) (2524,4451) > 
29.32armG  <  (2523,4751) (2523,4752) (2524,4752) (2524,4751) > 
29.34armG  <  (2523,5051) (2523,5052) (2524,5052) (2524,5051) > 
30.01armG  <  (2610,101) (2610,102) (2611,102) (2611,101) > 
30.03armG  <  (2610,401) (2610,402) (2611,402) (2611,401) > 
30.05armG  <  (2610,701) (2610,702) (2611,702) (2611,701) > 
30.07armG  <  (2610,1001) (2610,1002) (2611,1002) (2611,1001) > 
30.09armG  <  (2610,1301) (2610,1302) (2611,1302) (2611,1301) > 
30.11armG  <  (2610,1601) (2610,1602) (2611,1602) (2611,1601) > 
30.13armG  <  (2610,1901) (2610,1902) (2611,1902) (2611,1901) > 
30.15armG  <  (2610,2201) (2610,2202) (2611,2202) (2611,2201) > 
30.17armG  <  (2610,2501) (2610,2502) (2611,2502) (2611,2501) > 
30.19armG  <  (2610,2801) (2610,2802) (2611,2802) (2611,2801) > 
